Offense,Punishment,Section
Abetting the Commission of suicide,10 Years + Fine,IPC_306
Attempt to murder,10 Years + Fine,IPC_307
Attempt to commit culpable homicide,3 Years or Fine or Both,IPC_308
Attempt to commit suicide,Simple Imprisonment for 1 Year or Fine or Both,IPC_309
nan,nan,IPC_310
OffencePunishment,Being a thug,IPC_311
Causing miscarriage,3 Years or Fine or Both,IPC_312
Causing miscarriage without womanâ€™s consent,Imprisonment for Life or 10 Years + Fine,IPC_313
Death caused by an act done with intent to cause miscarriage,10 Years + Fine,IPC_314
"Act done with intent to prevent a child being born alive, or to cause it to die after its birth",10 Years or Fine or Both,IPC_315
Causing death of a quick unborn child by an act amounting to culpable homicide,10 Years and Fine,IPC_316
Exposure of a child under 12 Years of age by parent or person having care of it with intention of wholly abandoning it,7 Years or Fine or Both,IPC_317
Concealment of birth by secret disposal of dead body,2 Years or Fine or Both,IPC_318
nan,nan,IPC_319
nan,nan,IPC_320
nan,nan,IPC_321
nan,nan,IPC_322
Voluntarily causing hurt,1 Year or Fine or Both,IPC_323
Voluntarily causing hurt by dangerous weapons or means,3 Years or Fine or Both,IPC_324
Voluntarily causing grievous hurt,7 Years + Fine,IPC_325
Voluntarily causing grievous hurt by dangerous weapons or means,Imprisonment for Life or 10 Years + Fine,IPC_326
"Voluntarily causing grievous hurt by use of acid, etc.",10 years to Life + Fine paid to the victim,IPC_326A
Voluntarily throwing or attempting to throw acid,5 to 7 years + Fine,IPC_326B
"Voluntarily causing hurt to extort property or a valuable security, or to constrain to do anything which is illegal or which may facilitate the commission of an offence",10 Years + Fine,IPC_327
"Administering stupefying drug with intent to cause hurt, etc.",10 Years + Fine,IPC_328
"Voluntarily causing grievous hurt to extort property or a valuable security, or to constrain to do anything which is illegal, or which may facilitate the commission of an offence",Imprisonment for Life or 10 Years + Fine,IPC_329
"Voluntarily causing hurt to extort confession or information of property, etc.",7 Years + Fine,IPC_330
"Voluntarily causing grievous hurt to extort confession or information or to compel restoration of property, etc.",10 Years + Fine,IPC_331
Voluntarily causing hurt to deter public servant from his duty,3 Years or Fine or Both,IPC_332
Voluntarily causing grievous hurt to deter public servant from his duty,10 Years + Fine,IPC_333
"Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation",1 Month or Fine or Both,IPC_334
"Causing grievous hurt on Grave and sudden provocation, not intending to hurt and other than the person who gave the provocation",4 Years or Fine or Both,IPC_335
Doing any act which endangers human life or the personal safety of others,3 Months or Fine or Both,IPC_336
"Causing hurt by an act which endangers human life, etc.",6 Months or Fine or Both,IPC_337
"Causing grievous hurt by an act which endangers human life, etc.",2 Years or Fine or Both,IPC_338
nan,nan,IPC_339
nan,nan,IPC_340
Wrongfully restraining any person,Simple Imprisonment for 1 Month or Fine or Both,IPC_341
Wrongfully confining any person,1 Year or Fine or Both,IPC_342
Wrongfully confining for 3 or more days,2 Years or Fine or Both,IPC_343
Wrongfully confining for 10 or more days,3 Years + Fine,IPC_344
"Keeping any person in wrongful confinement, knowing that a writ has been issued for his liberation",2 Years in addition to imprisonment under any other section,IPC_345
Wrongful confinement in secret,2 Years in addition to imprisonment under any other section,IPC_346
"Wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc.",3 Years + Fine,IPC_347
"Wrongful confinement for the purpose of extorting confession or information, or of compelling restoration of property etc.",3 Years + Fine,IPC_348
nan,nan,IPC_349
nan,nan,IPC_350
nan,nan,IPC_351
Assault or use of criminal force otherwise than on grave provocation,3 Months or Fine or Both,IPC_352
Assault or use of criminal force to deter a public servant from discharge of his duty,2 Years or Fine or Both,IPC_353
Assault or use of criminal force to woman with intent to outrage her modesty,1 to 5 years + Fine,IPC_354
Sexual harassment of the nature of unwelcome physical contact and advances or a demand or request for sexual favours or showing pornography,Upto 3 years or Fine or Both,IPC_354A
Criminal force to woman with intent to disrobe,3 to 7 years + Fine,IPC_354B
nan,nan,IPC_354C
Stalking,Upto 3 years + Fine for first conviction,IPC_354D
"Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation",2 Years or Fine or Both,IPC_355
Assault or criminal force in attempt to commit theft of property worn or carried by a person,2 Years or Fine or Both,IPC_356
Assault or use of criminal Force in attempt wrongfully to confine a person,1 Year or Fine or Both,IPC_357
Assault or use of criminal force on grave and sudden provocation,Simple Imprisonment for 1 Month or Fine or Both,IPC_358
nan,nan,IPC_359
nan,nan,IPC_360
nan,nan,IPC_361
nan,nan,IPC_362
Kidnapping,7 Years + Fine,IPC_363
Kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging,10 Years + Fine.,IPC_363A
Kidnapping or abducting in order to murder,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,IPC_364
"Kidnapping for ransom, etc.",Death or Life + Fine,IPC_364A
Kidnapping or abducting with intent secretly and wrongfully to confine a person,7 Years + Fine,IPC_365
Kidnapping or abducting a woman to compel her marriage or to cause her defilement etc.,10 Years + Fine,IPC_366
Procuration of minor girl,10 Years + Fine,IPC_366A
Importation of girl from foreign country,10 Years + Fine,IPC_366B
"Kidnapping or abducting in order to subject a person to grievous hurt, slavery, etc.",10 Years + Fine,IPC_367
Concealing or keeping in confinement a kidnapped person,As for Kidnapping or Abduction,IPC_368
Kidnapping or abducting a child with intent to take property from the person of such child,7 Years + Fine,IPC_369
Trafficking of person,7 to 10 years + Fine,IPC_370
Exploitation of a trafficked child,5 to 7 years + Fine,IPC_370A
Habitual dealing in slaves,Life or 10 Years + Fine,IPC_371
"Selling or letting to hire a minor for purposes of prostitution, etc.",10 Years + Fine,IPC_372
Buying or obtaining possession of a minor for the same purposes,10 Years + Fine,IPC_373
Unlawful compulsory labour,1 Year or Fine or Both,IPC_374
nan,nan,IPC_375
Rape,Rigorous Imprisonment for 10 years to Imprisonment for Life + Fine,IPC_376
Person committing an offence of rape and inflicting injury which causes death or causes the woman to be in a persistent vegetative state,Rigorous Imprisonment for 20 years to Imprisonment for Natural-Life or Death,IPC_376A
nan,nan,IPC_376AB
